id,left,top,right,bottom,SAMPLE_1,SAMPLE_2,SAMPLE_3,SAMPLE_4
"75",27.647003343,43.206982027,27.648003343,43.207482027,,,,
"76",27.647003343,43.206482027,27.648003343,43.206982027,,,,
"77",27.647003343,43.205982027,27.648003343,43.206482027,,,,
"78",27.647003343,43.205482027,27.648003343,43.205982027,,,,
"79",27.647003343,43.204982027,27.648003343,43.205482027,,,,
"80",27.647003343,43.204482027,27.648003343,43.204982027,,,,
"81",27.647003343,43.203982027,27.648003343,43.204482027,,,,
"82",27.647003343,43.203482027,27.648003343,43.203982027,,,,
"83",27.647003343,43.202982027,27.648003343,43.203482027,,,,
"84",27.647003343,43.202482027,27.648003343,43.202982027,,,,
"85",27.647003343,43.201982027,27.648003343,43.202482027,,,,
"86",27.647003343,43.201482027,27.648003343,43.201982027,,,,
"87",27.647003343,43.200982027,27.648003343,43.201482027,,,,
"88",27.647003343,43.200482027,27.648003343,43.200982027,,,,
"89",27.647003343,43.199982027,27.648003343,43.200482027,,,,
"90",27.647003343,43.199482027,27.648003343,43.199982027,,,,
"91",27.647003343,43.198982027,27.648003343,43.199482027,,,,
"92",27.647003343,43.198482027,27.648003343,43.198982027,,,,
"93",27.647003343,43.197982027,27.648003343,43.198482027,,,,
"94",27.647003343,43.197482027,27.648003343,43.197982027,,,,
"95",27.647003343,43.196982027,27.648003343,43.197482027,,,,
"96",27.647003343,43.196482027,27.648003343,43.196982027,,,,
"97",27.647003343,43.195982027,27.648003343,43.196482027,,,,
"98",27.647003343,43.195482027,27.648003343,43.195982027,,,,
"99",27.647003343,43.194982027,27.648003343,43.195482027,,,,
"100",27.647003343,43.194482027,27.648003343,43.194982027,,,,
"101",27.647003343,43.193982027,27.648003343,43.194482027,,,,
"102",27.647003343,43.193482027,27.648003343,43.193982027,,,,
"103",27.647003343,43.192982027,27.648003343,43.193482027,,,,
"104",27.647003343,43.192482027,27.648003343,43.192982027,,,,
"105",27.647003343,43.191982027,27.648003343,43.192482027,,,,
"106",27.647003343,43.191482027,27.648003343,43.191982027,,,,
"107",27.647003343,43.190982027,27.648003343,43.191482027,,,,
"108",27.647003343,43.190482027,27.648003343,43.190982027,,,,
"109",27.647003343,43.189982027,27.648003343,43.190482027,,,,
"110",27.647003343,43.189482027,27.648003343,43.189982027,,,,
"111",27.647003343,43.188982027,27.648003343,43.189482027,"175","37","1","255"
"112",27.647003343,43.188482027,27.648003343,43.188982027,"184","24","8","255"
"113",27.647003343,43.187982027,27.648003343,43.188482027,,,,
"114",27.647003343,43.187482027,27.648003343,43.187982027,,,,
"115",27.647003343,43.186982027,27.648003343,43.187482027,,,,
"116",27.647003343,43.186482027,27.648003343,43.186982027,,,,
"117",27.647003343,43.185982027,27.648003343,43.186482027,"145","50","56","255"
"118",27.647003343,43.185482027,27.648003343,43.185982027,"138","60","56","255"
"119",27.647003343,43.184982027,27.648003343,43.185482027,,,,
"120",27.647003343,43.184482027,27.648003343,43.184982027,,,,
"121",27.647003343,43.183982027,27.648003343,43.184482027,,,,
"122",27.647003343,43.183482027,27.648003343,43.183982027,,,,
"123",27.647003343,43.182982027,27.648003343,43.183482027,,,,
"124",27.647003343,43.182482027,27.648003343,43.182982027,,,,
"125",27.647003343,43.181982027,27.648003343,43.182482027,,,,
"126",27.647003343,43.181482027,27.648003343,43.181982027,,,,
"127",27.647003343,43.180982027,27.648003343,43.181482027,,,,
"128",27.647003343,43.180482027,27.648003343,43.180982027,,,,
"129",27.647003343,43.179982027,27.648003343,43.180482027,,,,
"130",27.647003343,43.179482027,27.648003343,43.179982027,,,,
"131",27.647003343,43.178982027,27.648003343,43.179482027,,,,
"132",27.647003343,43.178482027,27.648003343,43.178982027,,,,
"133",27.648003343,43.210982027,27.649003343,43.211482027,,,,
"134",27.648003343,43.210482027,27.649003343,43.210982027,,,,
"135",27.648003343,43.209982027,27.649003343,43.210482027,,,,
"136",27.648003343,43.209482027,27.649003343,43.209982027,,,,
"137",27.648003343,43.208982027,27.649003343,43.209482027,,,,
"138",27.648003343,43.208482027,27.649003343,43.208982027,,,,
"139",27.648003343,43.207982027,27.649003343,43.208482027,,,,
"140",27.648003343,43.207482027,27.649003343,43.207982027,,,,
"141",27.648003343,43.206982027,27.649003343,43.207482027,,,,
"142",27.648003343,43.206482027,27.649003343,43.206982027,,,,
"143",27.648003343,43.205982027,27.649003343,43.206482027,,,,
"144",27.648003343,43.205482027,27.649003343,43.205982027,,,,
"145",27.648003343,43.204982027,27.649003343,43.205482027,,,,
"146",27.648003343,43.204482027,27.649003343,43.204982027,,,,
"147",27.648003343,43.203982027,27.649003343,43.204482027,,,,
"148",27.648003343,43.203482027,27.649003343,43.203982027,,,,
"149",27.648003343,43.202982027,27.649003343,43.203482027,,,,
"150",27.648003343,43.202482027,27.649003343,43.202982027,,,,
"151",27.648003343,43.201982027,27.649003343,43.202482027,,,,
"152",27.648003343,43.201482027,27.649003343,43.201982027,,,,
"153",27.648003343,43.200982027,27.649003343,43.201482027,,,,
"154",27.648003343,43.200482027,27.649003343,43.200982027,,,,
"155",27.648003343,43.199982027,27.649003343,43.200482027,,,,
"156",27.648003343,43.199482027,27.649003343,43.199982027,,,,
"157",27.648003343,43.198982027,27.649003343,43.199482027,,,,
"158",27.648003343,43.198482027,27.649003343,43.198982027,,,,
"159",27.648003343,43.197982027,27.649003343,43.198482027,,,,
"160",27.648003343,43.197482027,27.649003343,43.197982027,,,,
"161",27.648003343,43.196982027,27.649003343,43.197482027,,,,
"162",27.648003343,43.196482027,27.649003343,43.196982027,,,,
"163",27.648003343,43.195982027,27.649003343,43.196482027,,,,
"164",27.648003343,43.195482027,27.649003343,43.195982027,,,,
"165",27.648003343,43.194982027,27.649003343,43.195482027,,,,
"166",27.648003343,43.194482027,27.649003343,43.194982027,,,,
"167",27.648003343,43.193982027,27.649003343,43.194482027,,,,
"168",27.648003343,43.193482027,27.649003343,43.193982027,,,,
"169",27.648003343,43.192982027,27.649003343,43.193482027,,,,
"170",27.648003343,43.192482027,27.649003343,43.192982027,,,,
"171",27.648003343,43.191982027,27.649003343,43.192482027,,,,
"172",27.648003343,43.191482027,27.649003343,43.191982027,,,,
"173",27.648003343,43.190982027,27.649003343,43.191482027,,,,
